annotation_dataset	contig	gene	start_position	end_position	strandedness	AMG	rank	kegg_genes_id	ko_id	kegg_hit	kegg_RBH	kegg_identity	kegg_bitScore	kegg_eVal	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_id	cazy_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	virsorter_category	auxiliary_score	is_transposon	amg_flags	AMG_gene_id	AMG_gene_description	AMG_category	AMG_header	AMG_subheader	AMG_module	ARAGORN_tRNA_count	ARAGORN_tRNA_species
DRAMv	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462_22	24818	25132	-		C	pci:PCH70_35390		pci:PCH70_35390  phage protein	False	0.538	102.0	3.322e-23														Phage gp6-like head-tail connector protein [PF05135.16]						0.0	0.0	1.0	False									
DRAMv	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462_23	25132	25659	-		C	pnc:NCGM2_1584		pnc:NCGM2_1584  hypothetical protein	False	0.549	72.0	8.399e-12																				0.0	2.0	1.0	False									
DRAMv	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462_24	25725	26933	-		C	ppuh:B479_20020		ppuh:B479_20020  HK97 family phage major capsid protein	False	0.695	553.0	5.248e-174	YP_007238078.1	YP_007238078.1 putative head protein [Xanthomonas virus CP1]	False	0.351	176.0	2.0950000000000002e-46								Phage capsid family [PF05065.16]			VOG00110	sp|O64210|CAPSD_BPMD2 Probable major capsid protein gp17; Xs	Xs	0.0	0.0	1.0	False	V								
DRAMv	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462_25	26930	27577	-		C	paeb:NCGM1900_1918		paeb:NCGM1900_1918  HK97 family phage prohead protease	False	0.702	298.0	3.7619999999999996e-89	YP_009010475.1	YP_009010475.1 prohead protein [Geobacillus phage GBK2]	False	0.403	103.0	5.528e-24	MER0171992	S78	MER0171992 - prohead peptidase (bacteriophage HK97) (Stenotrophomonas sp. SKA14) [S78.001]#S78#{peptidase unit: 1-177}~source EED38957~	False	0.848	313.0	7.325e-96	Caudovirus prohead serine protease [PF04586.20]			VOG01358	sp|D3WAC4|PRO_BPLP2 Probable capsid maturation protease; XhXs	Xh;Xs	0.0	0.0	1.0	False	VP								
DRAMv	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462_26	27570	28832	-		A	psyr:N018_05430		psyr:N018_05430  nucleoid-structuring protein H-NS	True	0.724	579.0	1.525e-182	NP_945033.1	NP_945033.1 portal protein [Burkholderia phage phi1026b]	False	0.316	177.0	1.824e-46								Phage portal protein [PF04860.15]			VOG00073	sp|Q6QGD5|PORTL_BPT5 Portal protein; XhXpXrXs	Xp;Xr;Xh;Xs	0.0	0.0	1.0	False	V								
DRAMv	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462_27	28829	30583	-		A	smt:Smal_2503		smt:Smal_2503  Terminase	True	0.772	888.0	2.286999999999999e-286	YP_007673310.1	YP_007673310.1 phage terminase [Tetraselmis viridis virus S20]	True	0.412	415.0	4.0139999999999997e-125								Terminase large subunit, endonuclease domain [PF20441.1]; Terminase large subunit, ATPase domain [PF03354.18]			VOG06179	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0.0	0.0	1.0	False									
DRAMv	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462_28	30669	31073	-		C	smt:Smal_2504		smt:Smal_2504  conserved hypothetical protein	False	0.57	94.0	6.617e-20																				0.0	1.0	1.0	False									
DRAMv	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462_29	31277	31615	-		C	bvc:CEP68_02480		bvc:CEP68_02480  HNH endonuclease	False	0.517	102.0	4.741e-23	YP_007673257.1	YP_007673257.1 hypothetical protein TVGG_00001 [Tetraselmis viridis virus S20]	False	0.401	63.0	8.258e-12														1.0	1.0	1.0	False									
DRAMv	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462_30	31615	31830	-		E																											0.0	2.0	1.0	False									
DRAMv	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462_31	31823	32032	-		C	slm:BIZ42_16260		slm:BIZ42_16260  hypothetical protein	False	0.752	99.0	5.848e-23																				0.0	2.0	1.0	False									
DRAMv	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462_32	32032	32385	-		C	smt:Smal_2507		smt:Smal_2507  conserved hypothetical protein	False	0.943	220.0	3.918e-64	YP_009043885.1	YP_009043885.1 hypothetical protein SBVcX29_0014 [Vibrio phage X29]	False	0.663	150.0	8.963000000000001e-42								Protein of unknown function (DUF1064) [PF06356.14]			VOG00133	sp|P15075|HDNUC_BPT4 Head completion nuclease; Xu	Xu	0.0	1.0	1.0	False									
DRAMv	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462_33	32385	32675	-		E																											0.0	2.0	1.0	False									
DRAMv	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462_34	32728	33009	-		C	xve:BJD12_18385		xve:BJD12_18385  hypothetical protein	False	0.495	82.0	1.525e-16	YP_007392898.1	YP_007392898.1 hypothetical protein H390_gp09 [Xanthomonas citri phage CP2]	False	0.445	76.0	2.064e-16											VOG10717	REFSEQ hypothetical protein; Xu	Xu	0.0	2.0	1.0	False									
DRAMv	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462_35	33011	33493	-		C	xga:BI317_09845		xga:BI317_09845  hypothetical protein	False	0.37	104.0	5.1299999999999997e-23	YP_009801014.1	YP_009801014.1 hypothetical protein HOT16_gp38 [Xanthomonas phage Carpasina]	False	0.287	67.0	1.882e-12											VOG10716	REFSEQ hypothetical protein; Xu	Xu	0.0	2.0	1.0	False									
DRAMv	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462_36	33490	33945	-		E								YP_007392896.1	YP_007392896.1 hypothetical protein H390_gp07 [Xanthomonas citri phage CP2]	False	0.322	78.0	4.201e-16														0.0	2.0	1.0	False									
DRAMv	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462_37	33942	34454	-		C	xga:BI317_15855		xga:BI317_15855  lysozyme	False	0.802	278.0	2.456e-83	YP_009877133.1	YP_009877133.1 Phage lysin, 1,4-beta-N-acetylmuramidase (EC or lysozyme #Protein S in phage lambda [Escherichia virus P2-2H4]	False	0.642	201.0	1.4850000000000001e-58									GH104	GH104 peptidoglycan lytic transglycosylase (EC 3.2.1.-)				0.0	0.0	2.0	False	A								
DRAMv	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462_38	34612	35319	-		C	smt:Smal_2512		smt:Smal_2512  conserved hypothetical protein	False	0.657	308.0	3.493e-92																				0.0	2.0	2.0	False									
DRAMv	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462_39	35553	36044	-		C	slm:BIZ42_16220		slm:BIZ42_16220  hypothetical protein	False	0.351	94.0	1.07e-19																				0.0	2.0	2.0	False									
DRAMv	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462_40	36041	36406	-		C	slm:BIZ42_16215		slm:BIZ42_16215  hypothetical protein	False	0.634	154.0	2.861e-41														Recombination enhancement, RecA-dependent nuclease [PF16786.8]						0.0	2.0	2.0	False									
DRAMv	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462_41	36406	36657	-		C	slm:BIZ42_16195		slm:BIZ42_16195  hypothetical protein	False	0.535	86.0	4.045e-18																				0.0	2.0	2.0	False									
DRAMv	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462_42	36657	37217	-		C	smt:Smal_2515		smt:Smal_2515  hypothetical protein	False	0.622	220.0	9.515e-63														Replication protein P [PF06992.14]						0.0	2.0	2.0	False									
DRAMv	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462_43	37234	38118	-		C	spsw:Sps_05145		spsw:Sps_05145  Helix-turn-helix domain	False	0.306	124.0	6.964e-28														Helix-turn-helix domain [PF13730.9]			VOG00624	REFSEQ helix-turn-helix domain-containing protein; Xu	Xu	0.0	1.0	2.0	False									
DRAMv	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462_44	38120	38434	-		C	slm:BIZ42_16180		slm:BIZ42_16180  winged helix-turn-helix domain-containing protein	False	0.739	151.0	3.047e-40																				0.0	1.0	2.0	False									
DRAMv	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462_45	38440	38631	-		E																											0.0	2.0	2.0	False									
DRAMv	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462_46	38661	38846	-		C	xoz:BE73_14225		xoz:BE73_14225  hypothetical protein	False	0.707	89.0	7.978e-20																	VOG17851	REFSEQ hypothetical protein; Xu	Xu	0.0	1.0	2.0	False									
DRAMv	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462_47	38905	39378	-		C	smt:Smal_2519		smt:Smal_2519  CI repressor	False	0.51	148.0	2.213e-38														Putative antitoxin of bacterial toxin-antitoxin system, YdaS/YdaT [PF15943.8]; Bacteriophage CI repressor helix-turn-helix domain [PF07022.16]						0.0	2.0	2.0	False									
DRAMv	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462_48	39494	39946	+		C	xal:XALC_0188		xal:XALC_0188  hypothetical protein	False	0.677	72.0	5.213e-12																				0.0	2.0	2.0	False									
DRAMv	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462_49	39888	40235	+		C	smt:Smal_2520		smt:Smal_2520  hypothetical protein	False	0.698	160.0	1.889e-43																				0.0	2.0	2.0	False									
DRAMv	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462_50	40389	40640	+		E																											0.0	2.0	2.0	False									
DRAMv	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462_51	40637	40876	+		E																											0.0	2.0	2.0	False									
DRAMv	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462_52	40873	41073	+		E																											0.0	2.0	2.0	False									
DRAMv	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462_53	41070	41213	+		E																											0.0	2.0	2.0	False									
DRAMv	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462_54	41210	41767	+		C	slm:BIZ42_16140		slm:BIZ42_16140  hypothetical protein	False	0.737	265.0	3.061e-78																				0.0	2.0	2.0	False	F								
DRAMv	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462_55	41764	42183	+		E																											0.0	2.0	2.0	False	F								
DRAMv	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462_56	42176	44200	+		A	slm:BIZ42_16125		slm:BIZ42_16125  DNA methyltransferase	True	0.834	1159.0	0.0	YP_009796624.1	YP_009796624.1 DNA cytosine methylasetransferase [Pseudomonas phage PMBT3]	True	0.364	403.0	7.008e-120								C-5 cytosine-specific DNA methylase [PF00145.20]			VOG00135	sp|P34877|MTSA_LACLC Modification methylase ScrFIA; XhXp	Xp;Xh	0.0	1.0	2.0	False	F								
DRAMv	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462_57	44209	44829	-		C	rhn:AMJ98_CH03094		rhn:AMJ98_CH03094  hypothetical protein	False	0.271	62.0	5.327e-08																				0.0	2.0	2.0	False	F								
DRAMv	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462_58	44895	45221	+		C	buj:BurJV3_1770		buj:BurJV3_1770  hypothetical protein	False	0.637	138.0	9.141000000000001e-36																				0.0	2.0	2.0	False	F								
DRAMv	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462	Sample_54_contig_1_0_partial_1__excised_start_1_end_46391_len_65462_59	45402	46391	+		C	stem:CLM74_09750		stem:CLM74_09750  integrase	False	0.922	636.0	2.6599999999999998e-204	YP_009639355.1	YP_009639355.1 integrase [Salinibacter virus M8CC19]	False	0.222	78.0	1.692e-14								Phage integrase family [PF00589.25]			VOG00018	sp|P22877|INTR_SACER Integrase; XhXr	Xr;Xh	0.0	1.0	5.0	False	VF								
DRAMv	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587_1	146	340	-		E																											0.0	2.0	5.0	False	F								
DRAMv	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587_2	392	5338	-		C	smt:Smal_2488		smt:Smal_2488  Carbohydrate-binding CenC domain protein	False	0.297	631.0	1.6220000000000001e-183	YP_007238093.1	YP_007238093.1 putative tail component protein [Xanthomonas virus CP1]	False	0.35	261.0	1.6539999999999999e-68														0.0	0.0	4.0	False	F								
DRAMv	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587_3	5344	7326	-		C	smt:Smal_2489		smt:Smal_2489  phage tape measure protein	False	0.733	978.0	4.756e-316																				0.0	2.0	1.0	False									
DRAMv	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587_4	7269	9932	-		C	smt:Smal_2489		smt:Smal_2489  phage tape measure protein	False	0.692	1166.0	0.0	NP_945044.1	NP_945044.1 tail tape measure protein [Burkholderia phage phi1026b]	False	0.235	186.0	1.3310000000000001e-46								Tape measure protein [PF20155.2]			VOG03925	REFSEQ tape measure protein; Xu	Xu	0.0	0.0	1.0	False									
DRAMv	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587_5	9991	10317	-		E																											0.0	2.0	1.0	False									
DRAMv	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587_6	10351	11109	-		C	smt:Smal_2490		smt:Smal_2490  hypothetical protein	False	0.731	359.0	8.938e-110																				0.0	2.0	1.0	False									
DRAMv	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587_7	11338	11724	+		C	psv:PVLB_09500		psv:PVLB_09500  hypothetical protein	False	0.363	77.0	2.914e-14																				0.0	2.0	1.0	False									
DRAMv	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587_8	11721	13688	-		C	smt:Smal_2491		smt:Smal_2491  hypothetical protein	False	0.703	923.0	2.6809999999999998e-297																				0.0	1.0	1.0	False									
DRAMv	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587_9	13692	13907	-		C	smt:Smal_2492		smt:Smal_2492  hypothetical protein	False	0.887	134.0	4.97e-35																				0.0	2.0	1.0	False									
DRAMv	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587_10	13985	14362	-		C	smt:Smal_2493		smt:Smal_2493  hypothetical protein	False	0.714	181.0	3.022e-50														Phage tail assembly chaperone, TAC [PF16459.8]						0.0	2.0	1.0	False									
DRAMv	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587_11	14487	14960	-		C	smt:Smal_2494		smt:Smal_2494  hypothetical protein	False	0.877	288.0	4.9910000000000005e-87														Phage tail tube, TTP, lambda-like [PF16460.8]; Lambda phage tail tube protein, TTP [PF16461.8]						0.0	1.0	1.0	False									
DRAMv	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587_12	15046	15408	-		C	smt:Smal_2495		smt:Smal_2495  conserved hypothetical protein	False	0.725	178.0	2.182e-49														Protein of unknown function (DUF3168) [PF11367.11]						0.0	1.0	1.0	False									
DRAMv	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587_13	15405	15908	-		C	smt:Smal_2496		smt:Smal_2496  phage protein, HK97 gp10 family	False	0.722	245.0	6.923e-72	NP_945039.1	NP_945039.1 HK97 gp10 familygprotein [Burkholderia phage phi1026b]	False	0.29	72.0	7.647e-14								Bacteriophage HK97-gp10, putative tail-component [PF04883.15]			VOG00010	REFSEQ HK97 gp10 family protein; Xu	Xu	0.0	0.0	1.0	False									
DRAMv	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587_14	15901	16236	-		C	smt:Smal_2497		smt:Smal_2497  phage head-tail adaptor	False	0.635	131.0	2.271e-33														Phage head-tail joining protein [PF05521.14]						0.0	2.0	1.0	False									
DRAMv	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587_15	16236	16550	-		C	pci:PCH70_35390		pci:PCH70_35390  phage protein	False	0.538	102.0	3.322e-23														Phage gp6-like head-tail connector protein [PF05135.16]						0.0	0.0	1.0	False									
DRAMv	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587_16	16550	17077	-		C	pnc:NCGM2_1584		pnc:NCGM2_1584  hypothetical protein	False	0.549	72.0	8.399e-12																				0.0	2.0	1.0	False									
DRAMv	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587_17	17143	18351	-		C	ppuh:B479_20020		ppuh:B479_20020  HK97 family phage major capsid protein	False	0.695	553.0	5.248e-174	YP_007238078.1	YP_007238078.1 putative head protein [Xanthomonas virus CP1]	False	0.351	176.0	2.0950000000000002e-46								Phage capsid family [PF05065.16]			VOG00110	sp|O64210|CAPSD_BPMD2 Probable major capsid protein gp17; Xs	Xs	0.0	0.0	1.0	False	V								
DRAMv	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587_18	18348	18995	-		C	paeb:NCGM1900_1918		paeb:NCGM1900_1918  HK97 family phage prohead protease	False	0.702	298.0	3.7619999999999996e-89	YP_009010475.1	YP_009010475.1 prohead protein [Geobacillus phage GBK2]	False	0.403	103.0	5.528e-24	MER0171992	S78	MER0171992 - prohead peptidase (bacteriophage HK97) (Stenotrophomonas sp. SKA14) [S78.001]#S78#{peptidase unit: 1-177}~source EED38957~	False	0.848	313.0	7.325e-96	Caudovirus prohead serine protease [PF04586.20]			VOG01358	sp|D3WAC4|PRO_BPLP2 Probable capsid maturation protease; XhXs	Xh;Xs	0.0	0.0	1.0	False	VP								
DRAMv	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587_19	18988	20250	-		C	psyr:N018_05430		psyr:N018_05430  nucleoid-structuring protein H-NS	False	0.724	579.0	1.525e-182	NP_945033.1	NP_945033.1 portal protein [Burkholderia phage phi1026b]	False	0.316	177.0	1.824e-46								Phage portal protein [PF04860.15]			VOG00073	sp|Q6QGD5|PORTL_BPT5 Portal protein; XhXpXrXs	Xp;Xr;Xh;Xs	0.0	0.0	1.0	False	V								
DRAMv	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587_20	20247	22001	-		C	smt:Smal_2503		smt:Smal_2503  Terminase	False	0.772	888.0	2.286999999999999e-286	YP_007673310.1	YP_007673310.1 phage terminase [Tetraselmis viridis virus S20]	False	0.412	415.0	4.0139999999999997e-125								Terminase large subunit, endonuclease domain [PF20441.1]; Terminase large subunit, ATPase domain [PF03354.18]			VOG06179	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0.0	0.0	1.0	False									
DRAMv	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587_21	22087	22491	-		C	smt:Smal_2504		smt:Smal_2504  conserved hypothetical protein	False	0.57	94.0	6.617e-20																				0.0	1.0	1.0	False									
DRAMv	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587_22	22695	23033	-		C	bvc:CEP68_02480		bvc:CEP68_02480  HNH endonuclease	False	0.517	102.0	4.741e-23	YP_007673257.1	YP_007673257.1 hypothetical protein TVGG_00001 [Tetraselmis viridis virus S20]	False	0.401	63.0	8.258e-12														1.0	1.0	1.0	False									
DRAMv	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587_23	23033	23248	-		E																											0.0	2.0	1.0	False									
DRAMv	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587_24	23241	23450	-		C	slm:BIZ42_16260		slm:BIZ42_16260  hypothetical protein	False	0.752	99.0	5.848e-23																				0.0	2.0	1.0	False									
DRAMv	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587_25	23450	23803	-		C	smt:Smal_2507		smt:Smal_2507  conserved hypothetical protein	False	0.943	220.0	3.918e-64	YP_009043885.1	YP_009043885.1 hypothetical protein SBVcX29_0014 [Vibrio phage X29]	False	0.663	150.0	8.963000000000001e-42								Protein of unknown function (DUF1064) [PF06356.14]			VOG00133	sp|P15075|HDNUC_BPT4 Head completion nuclease; Xu	Xu	0.0	1.0	1.0	False									
DRAMv	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587_26	23803	24093	-		E																											0.0	2.0	1.0	False									
DRAMv	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587_27	24146	24427	-		C	xve:BJD12_18385		xve:BJD12_18385  hypothetical protein	False	0.495	82.0	1.525e-16	YP_007392898.1	YP_007392898.1 hypothetical protein H390_gp09 [Xanthomonas citri phage CP2]	False	0.445	76.0	2.064e-16											VOG10717	REFSEQ hypothetical protein; Xu	Xu	0.0	2.0	1.0	False									
DRAMv	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587_28	24429	24911	-		C	xga:BI317_09845		xga:BI317_09845  hypothetical protein	False	0.37	104.0	5.1299999999999997e-23	YP_009801014.1	YP_009801014.1 hypothetical protein HOT16_gp38 [Xanthomonas phage Carpasina]	False	0.287	67.0	1.882e-12											VOG10716	REFSEQ hypothetical protein; Xu	Xu	0.0	2.0	1.0	False									
DRAMv	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587_29	24908	25363	-		E								YP_007392896.1	YP_007392896.1 hypothetical protein H390_gp07 [Xanthomonas citri phage CP2]	False	0.322	78.0	4.201e-16														0.0	2.0	1.0	False									
DRAMv	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587_30	25360	25872	-		C	xga:BI317_15855		xga:BI317_15855  lysozyme	False	0.802	278.0	2.456e-83	YP_009877133.1	YP_009877133.1 Phage lysin, 1,4-beta-N-acetylmuramidase (EC or lysozyme #Protein S in phage lambda [Escherichia virus P2-2H4]	False	0.642	201.0	1.4850000000000001e-58									GH104	GH104 peptidoglycan lytic transglycosylase (EC 3.2.1.-)				0.0	0.0	2.0	False	A								
DRAMv	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587_31	26030	26737	-		C	smt:Smal_2512		smt:Smal_2512  conserved hypothetical protein	False	0.657	308.0	3.493e-92																				0.0	2.0	2.0	False									
DRAMv	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587	Sample_54_contig_1_fragment_13_1__excised_start_5780_end_43587_len_43587_32	26971	27462	-		C	slm:BIZ42_16220		slm:BIZ42_16220  hypothetical protein	False	0.351	94.0	1.07e-19																				0.0	2.0	2.0	False									
